epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6194,1.63206,2.10728,1.15957,0.76133,0.60074,0.65289,0.33203,1.68539,1.13345,1.08129,0.000663492,0.000663492,0.000663492
2,23.2077,1.476,1.11152,1.12161,0.80999,0.64624,0.72003,0.36546,1.55633,1.15174,1.07148,0.00131699,0.00131699,0.00131699
3,33.5705,1.37826,0.98356,1.08168,0.82914,0.61281,0.71945,0.4061,1.51843,0.88123,1.06058,0.00195729,0.00195729,0.00195729
4,43.929,1.3559,0.94482,1.07418,0.8171,0.672,0.75449,0.41448,1.47338,0.87996,1.03228,0.0019406,0.0019406,0.0019406
5,54.3073,1.32812,0.92375,1.05347,0.86901,0.64345,0.73409,0.39938,1.44414,0.86546,1.03704,0.0019208,0.0019208,0.0019208
6,64.8038,1.28472,0.88235,1.0377,0.90997,0.65088,0.76812,0.43464,1.41027,0.81783,1.00264,0.001901,0.001901,0.001901
7,75.2474,1.23606,0.85451,1.0335,0.89785,0.67224,0.75773,0.42999,1.41324,0.83662,1.01333,0.0018812,0.0018812,0.0018812
8,85.6545,1.20375,0.81147,1.01286,0.90003,0.64903,0.75184,0.42203,1.42979,0.83289,1.00993,0.0018614,0.0018614,0.0018614
9,96.278,1.18626,0.80985,1.01476,0.86711,0.63788,0.72253,0.41248,1.43135,0.7973,1.02126,0.0018416,0.0018416,0.0018416
10,106.786,1.17552,0.78158,1.00365,0.89956,0.65698,0.76332,0.4251,1.39992,0.77874,1.00207,0.0018218,0.0018218,0.0018218
11,117.368,1.16546,0.78378,1.00488,0.92713,0.64995,0.74549,0.42497,1.41428,0.77702,1.01551,0.001802,0.001802,0.001802
12,128.217,1.14798,0.75449,0.993,0.89356,0.68152,0.7638,0.43254,1.40123,0.74195,1.0018,0.0017822,0.0017822,0.0017822
13,139.105,1.09262,0.71992,0.97413,0.90874,0.65646,0.74267,0.42802,1.39556,0.76108,1.00696,0.0017624,0.0017624,0.0017624
14,149.704,1.10039,0.72559,0.9911,0.9281,0.66202,0.74283,0.42659,1.37124,0.76752,0.9937,0.0017426,0.0017426,0.0017426
15,160.401,1.10677,0.7113,0.97523,0.92128,0.66287,0.75376,0.44222,1.38643,0.73809,0.99133,0.0017228,0.0017228,0.0017228
16,171.09,1.09465,0.70268,0.96916,0.93174,0.66202,0.77823,0.45397,1.38051,0.7513,0.98863,0.001703,0.001703,0.001703
17,181.772,1.07978,0.7033,0.97184,0.93219,0.66374,0.77697,0.43803,1.38986,0.72883,0.99379,0.0016832,0.0016832,0.0016832
18,192.561,1.07559,0.69243,0.97335,0.90719,0.65345,0.7781,0.45572,1.3855,0.73114,0.98929,0.0016634,0.0016634,0.0016634
19,203.267,1.05233,0.67963,0.96364,0.81466,0.70607,0.77273,0.46469,1.36056,0.7214,0.98655,0.0016436,0.0016436,0.0016436
20,214.001,1.05394,0.68776,0.97207,0.9496,0.66479,0.76335,0.42958,1.36558,0.72681,0.99761,0.0016238,0.0016238,0.0016238
21,224.763,1.02703,0.66479,0.95852,0.92894,0.66758,0.78371,0.45785,1.35772,0.72369,0.98132,0.001604,0.001604,0.001604
22,235.46,1.04664,0.67266,0.96861,0.9317,0.65645,0.78674,0.45204,1.39904,0.71897,0.99561,0.0015842,0.0015842,0.0015842
23,246.49,1.0296,0.66542,0.95065,0.89914,0.68431,0.78497,0.4763,1.37058,0.71138,0.97685,0.0015644,0.0015644,0.0015644
24,258.044,1.00743,0.64527,0.95095,0.92244,0.66256,0.78221,0.46753,1.35122,0.69951,0.98119,0.0015446,0.0015446,0.0015446
25,269.346,1.01589,0.64692,0.95554,0.91817,0.66202,0.77449,0.46201,1.36371,0.70962,0.98005,0.0015248,0.0015248,0.0015248
26,280.659,0.97587,0.62962,0.93798,0.91381,0.66939,0.79503,0.48169,1.33706,0.69264,0.97938,0.001505,0.001505,0.001505
27,294.267,1.00338,0.63147,0.94872,0.91852,0.66992,0.76246,0.44779,1.39238,0.69484,0.99377,0.0014852,0.0014852,0.0014852
28,314.501,1.02002,0.64112,0.94899,0.91247,0.65552,0.75704,0.45435,1.35376,0.71478,0.98502,0.0014654,0.0014654,0.0014654
29,334.677,0.99537,0.63546,0.94396,0.92613,0.66852,0.77227,0.4528,1.36426,0.68846,0.98369,0.0014456,0.0014456,0.0014456
30,354.855,0.99647,0.62174,0.93939,0.90753,0.67409,0.76891,0.44086,1.39377,0.67943,0.99918,0.0014258,0.0014258,0.0014258
31,373.442,0.97301,0.62129,0.93643,0.87738,0.66667,0.77341,0.46137,1.35353,0.69737,0.99299,0.001406,0.001406,0.001406
32,384.685,0.96446,0.61946,0.93577,0.92759,0.66202,0.76868,0.47025,1.33897,0.68443,0.97566,0.0013862,0.0013862,0.0013862
33,395.922,0.94643,0.60484,0.934,0.95822,0.66202,0.78759,0.4711,1.35619,0.69181,0.98817,0.0013664,0.0013664,0.0013664
34,406.954,0.9483,0.60654,0.93498,0.90958,0.67248,0.79656,0.47077,1.36086,0.6946,0.98126,0.0013466,0.0013466,0.0013466
35,417.87,0.94352,0.60034,0.92952,0.89521,0.68214,0.7901,0.47267,1.39187,0.68755,1.0004,0.0013268,0.0013268,0.0013268
36,428.982,0.94614,0.60719,0.93349,0.88965,0.65645,0.77616,0.45795,1.39733,0.71081,0.99895,0.001307,0.001307,0.001307
37,440.071,0.93558,0.59659,0.92585,0.87336,0.69359,0.79194,0.46398,1.39611,0.70835,0.99716,0.0012872,0.0012872,0.0012872
38,451.199,0.92762,0.594,0.92564,0.87133,0.67781,0.79682,0.46402,1.38796,0.68907,0.99728,0.0012674,0.0012674,0.0012674
39,462.321,0.94537,0.60372,0.93618,0.91124,0.6768,0.79869,0.47184,1.32114,0.6941,0.97996,0.0012476,0.0012476,0.0012476
40,473.359,0.92817,0.59551,0.92328,0.87683,0.69638,0.79997,0.4809,1.33798,0.67328,0.98631,0.0012278,0.0012278,0.0012278
41,484.316,0.90595,0.57589,0.91664,0.91326,0.66476,0.79618,0.4772,1.3751,0.68116,0.99435,0.001208,0.001208,0.001208
42,495.341,0.92931,0.58641,0.92559,0.93672,0.68152,0.80998,0.48206,1.39035,0.67249,1.00185,0.0011882,0.0011882,0.0011882
43,506.166,0.91894,0.5783,0.91995,0.92193,0.66889,0.80008,0.48326,1.36204,0.67591,0.99845,0.0011684,0.0011684,0.0011684
44,517.113,0.91186,0.57962,0.92487,0.89133,0.69452,0.80505,0.48423,1.34628,0.66348,0.98837,0.0011486,0.0011486,0.0011486
45,528.159,0.90785,0.56937,0.914,0.92922,0.68431,0.80672,0.47276,1.35643,0.67298,0.98811,0.0011288,0.0011288,0.0011288
46,539.111,0.89271,0.56912,0.91446,0.93453,0.64995,0.78298,0.46549,1.38978,0.68757,1.00617,0.001109,0.001109,0.001109
47,550.049,0.90466,0.57537,0.9215,0.85372,0.68988,0.77905,0.46552,1.38095,0.68598,0.99554,0.0010892,0.0010892,0.0010892
48,561.036,0.88922,0.56676,0.91569,0.92476,0.67224,0.7949,0.46516,1.38594,0.68215,1.00151,0.0010694,0.0010694,0.0010694
49,572.783,0.89565,0.56866,0.92146,0.91326,0.66295,0.77956,0.45828,1.41026,0.69013,1.00861,0.0010496,0.0010496,0.0010496
50,589.317,0.87477,0.56317,0.9152,0.93612,0.67038,0.80747,0.48144,1.35315,0.66221,0.98936,0.0010298,0.0010298,0.0010298
51,600.379,0.87341,0.55409,0.90865,0.92394,0.69934,0.81975,0.48063,1.36782,0.66672,0.99702,0.00101,0.00101,0.00101
52,611.527,0.86743,0.55226,0.90764,0.94222,0.67595,0.80964,0.488,1.3689,0.66236,1.00089,0.0009902,0.0009902,0.0009902
53,623.767,0.87164,0.55349,0.90921,0.93459,0.67659,0.80984,0.50302,1.3413,0.65349,0.98954,0.0009704,0.0009704,0.0009704
